Name,Set Name,Owner,Quantity,MARKET
Falkenrath Exterminator,March of the Machine Commander,Eric,1,0.08
Falkenrath Gorger,Crimson Vow Commander,Eric,1,0.14
Falkenrath Noble,Crimson Vow Commander,Eric,1,0.14
Fall from Favor,Commander Masters,Eric,1,0.05
Fall of Gil-galad,The Lord of the Rings: Tales of Middle-earth,Eric,2,0.16
Fall of the First Civilization,Assassin's Creed,Eric,5,0.10
Fall of the First Civilization,Assassin's Creed,Eric,1,0.07
Fallaji Vanguard,The Brothers' War,Eric,1,0.02
Fanatical Firebrand,Foundations,Eric,1,0.05
Fanatical Strength,Murders at Karlov Manor,Eric,1,0.02
Fang of Shigeki,Kamigawa: Neon Dynasty,Eric,1,0.14
"Fangorn, Tree Shepherd",The Lord of the Rings: Tales of Middle-earth,Eric,2,0.16
Fangs of Kalonia,Modern Horizons 3,Eric,1,0.29
Far Traveler,Commander Legends: Battle for Baldur's Gate,Eric,1,0.08
"Faramir, Field Commander",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.12
"Faramir, Field Commander",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.10
"Faramir, Field Commander",The Lord of the Rings: Tales of Middle-earth,Eric,2,0.04
"Faramir, Steward of Gondor",Tales of Middle-earth Commander,Eric,1,0.19
Farewell,Modern Horizons 3 Commander,Eric,1,5.19
Farewell,Kamigawa: Neon Dynasty,Eric,1,5.05
Farhaven Elf,Tales of Middle-earth Commander,Eric,1,0.17
"Farideh, Devil's Chosen",Adventures in the Forgotten Realms,Eric,2,0.11
"Farideh, Devil's Chosen",Adventures in the Forgotten Realms,Eric,1,0.10
Farideh's Fireball,Adventures in the Forgotten Realms,Eric,1,0.06
Farmer Cotton,Tales of Middle-earth Commander,Eric,1,1.86
Farseek,Tales of Middle-earth Commander,Eric,1,1.69
Farseek,Magic 2013,Eric,3,1.41
Fatal Push,Assassin's Creed,Eric,1,1.17
Fates' Reversal,Adventures in the Forgotten Realms,Eric,1,0.17
Favorable Winds,Avacyn Restored,Eric,1,0.24
Fealty to the Realm,Tales of Middle-earth Commander,Eric,1,0.12
Fear of Burning Alive,Duskmourn: House of Horror,Eric,1,0.09
Fear of Death,Innistrad: Crimson Vow,Eric,1,0.03
"Fear, Fire, Foes!",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.11
Feasting Hobbit,Tales of Middle-earth Commander,Eric,1,0.41
Feather of Flight,Bloomburrow,Eric,1,0.18
Feather Token,March of the Machine Commander Tokens,Eric,1,
Fecund Greenshell,Bloomburrow,Eric,1,0.19
Feed the Cycle,Bloomburrow,Eric,1,0.10
Feed the Swarm,Crimson Vow Commander,Eric,1,0.65
Feed the Swarm,Outlaws of Thunder Junction Commander,Eric,1,0.22
Feed the Swarm,Zendikar Rising,Eric,1,0.18
Feign Death,Adventures in the Forgotten Realms,Eric,1,1.54
Feldon of the Third Path,March of the Machine Commander,Eric,1,0.88
"Feldon, Ronom Excavator",The Brothers' War,Eric,1,0.21
Felidar Retreat,Phyrexia: All Will Be One Commander,Eric,1,2.74
Felidar Umbra,Planechase Anthology,Eric,1,2.24
Fell the Mighty,March of the Machine Commander,Eric,1,0.20
Fell the Mighty,Tales of Middle-earth Commander,Eric,1,0.17
Fellwar Stone,Phyrexia: All Will Be One Commander,Eric,1,1.26
Fellwar Stone,Neon Dynasty Commander,Eric,1,1.19
Fellwar Stone,Outlaws of Thunder Junction Commander,Eric,2,1.15
Fellwar Stone,March of the Machine Commander,Eric,1,1.13
Fellwar Stone,Forgotten Realms Commander,Eric,1,0.95
Felonious Rage,Murders at Karlov Manor,Eric,1,0.06
Fertile Ground,Wilds of Eldraine Commander,Eric,1,0.19
Fertilid,Neon Dynasty Commander,Eric,1,0.09
Fertilid,March of the Machine Commander,Eric,1,0.06
Festering Gulch,Outlaws of Thunder Junction,Eric,1,0.23
Fetid Heath,Outlaws of Thunder Junction Commander,Eric,1,2.98
Fevered Suspicion,Forgotten Realms Commander,Eric,1,1.83
Feywild Caretaker,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Feywild Trickster,Adventures in the Forgotten Realms,Eric,1,0.21
Feywild Visitor,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Field of Ruin,Tales of Middle-earth Commander,Eric,2,0.17
Field of Ruin,March of the Machine Commander,Eric,1,0.17
Field-Tested Frying Pan,Tales of Middle-earth Commander,Eric,1,0.20
Fiend Hunter,Tales of Middle-earth Commander,Eric,1,0.14
Fiend of the Shadows,Forgotten Realms Commander,Eric,1,0.17
Fiendlash,Forgotten Realms Commander,Eric,1,1.82
Fiendlash,Forgotten Realms Commander,Eric,1,
Fierce Retribution,Breaking News,Eric,1,0.03
Fiery Annihilation,Foundations,Eric,2,0.05
Fiery Confluence,March of the Machine Commander,Eric,1,0.33
Fiery Emancipation,Wilds of Eldraine: Enchanting Tales,Eric,1,8.88
Fiery Emancipation,Wilds of Eldraine: Enchanting Tales,Eric,1,8.25
Fiery Inscription,The Lord of the Rings: Tales of Middle-earth,Eric,2,0.30
Fiery Islet,Assassin's Creed,Eric,1,5.21
Fifty Feet of Rope,Adventures in the Forgotten Realms,Eric,1,0.06
Fighter Class,Adventures in the Forgotten Realms,Eric,1,10.67
Fighter Class,Adventures in the Forgotten Realms,Eric,1,8.89
Filigree Racer,Modern Horizons 3 Commander,Eric,1,0.10
Final Act,Modern Horizons 3 Commander,Eric,1,0.39
Finale of Glory,Phyrexia: All Will Be One Commander,Eric,1,1.19
Finch Formation,Bloomburrow,Eric,1,0.03
Find // Finality,Modern Horizons 3 Commander,Eric,1,0.08
Find the Path,Adventures in the Forgotten Realms,Eric,1,0.09
Firbolg Flutist,Commander Legends: Battle for Baldur's Gate,Eric,1,0.15
Fire Diamond,Crimson Vow Commander,Eric,1,1.20
Fire Diamond,Commander Legends: Battle for Baldur's Gate,Eric,1,0.25
Fire Diamond,Commander Legends: Battle for Baldur's Gate,Eric,1,0.09
Fire of Orthanc,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.05
Fire of Orthanc,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.05
Fireball,Commander Legends: Battle for Baldur's Gate,Eric,1,0.06
Fireglass Mentor,Bloomburrow,Eric,1,0.06
Fireshrieker,Neon Dynasty Commander,Eric,1,0.70
Fishing Pole,Foundations,Eric,2,0.05
Fissure Wizard,Zendikar Rising,Eric,1,0.06
Fists of Flame,Commander Masters,Eric,1,0.14
Flame Discharge,Kamigawa: Neon Dynasty,Eric,1,0.04
Flame of Anor,The Lord of the Rings: Tales of Middle-earth,Eric,1,3.19
Flame-Blessed Bolt,Innistrad: Crimson Vow,Eric,1,0.04
Flamerush Rider,Tales of Middle-earth Commander,Eric,1,0.13
Flamerush Rider,March of the Machine Commander,Eric,1,0.12
Flameshadow Conjuring,March of the Machine Commander,Eric,1,1.93
Flaming Fist,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Flaming Fist,Commander Legends: Battle for Baldur's Gate,Eric,1,0.08
Flaming Fist Officer,Commander Legends: Battle for Baldur's Gate,Eric,1,0.07
Flawless Maneuver,Phyrexia: All Will Be One Commander,Eric,1,10.45
Flawless Maneuver,Secret Lair Drop,Eric,1,9.29
Fledgling Dragon,Modern Horizons 3,Eric,1,0.10
Fleeting Distraction,Foundations,Eric,3,0.02
Fleeting Reflection,Outlaws of Thunder Junction,Eric,1,0.13
Fleeting Reflection,Outlaws of Thunder Junction,Eric,1,0.13
Fling,Breaking News,Eric,1,0.07
Flooded Grove,Tales of Middle-earth Commander,Eric,1,0.24
Flowerfoot Swordmaster,Bloomburrow,Eric,1,0.11
Flowering of the White Tree,The Lord of the Rings: Tales of Middle-earth,Eric,1,4.61
Flowstone Infusion,Dominaria United,Eric,1,0.04
Flumph,Adventures in the Forgotten Realms,Eric,1,1.25
Fly,Adventures in the Forgotten Realms,Eric,1,0.11
Fog on the Barrow-Downs,The Lord of the Rings: Tales of Middle-earth,Eric,2,0.03
Food Token,March of the Machine Commander Tokens,Eric,1,0.19
Food Token,Modern Horizons 2 Tokens,Eric,1,0.09
Food Token,Outlaws of Thunder Junction Commander Tokens,Eric,1,
Food Token,Tales of Middle-earth Tokens,Eric,4,
Food Token,Tales of Middle-earth Tokens,Eric,3,
Foray of Orcs,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.06
Foray of Orcs,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.03
Forced Landing,Ravnica Remastered,Eric,1,0.03
Foreboding Landscape,Modern Horizons 3,Eric,1,0.13
Foreboding Ruins,Forgotten Realms Commander,Eric,1,0.31
Foreboding Ruins,Crimson Vow Commander,Eric,1,0.20
Forest,Kamigawa: Neon Dynasty,Eric,1,2.17
Forest,Bloomburrow,Eric,1,1.22
Forest,The Lost Caverns of Ixalan,Eric,1,0.86
Forest,Assassin's Creed,Eric,4,0.77
Forest,Commander Masters,Eric,1,0.50
Forest,Foundations,Eric,1,0.49
Forest,Innistrad: Crimson Vow,Eric,1,0.48
Forest,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.47
Forest,Assassin's Creed,Eric,18,0.44
Forest,Outlaws of Thunder Junction,Eric,1,0.42
Forest,Bloomburrow,Eric,1,0.41
Forest,Foundations,Eric,1,0.41
Forest,Foundations,Eric,1,0.36
Forest,Outlaws of Thunder Junction,Eric,1,0.34
Forest,Bloomburrow,Eric,2,0.33
Forest,Foundations,Eric,1,0.33
Forest,Innistrad: Crimson Vow,Eric,1,0.30
Forest,Bloomburrow,Eric,1,0.30
Forest,Bloomburrow,Eric,1,0.28
Forest,Assassin's Creed,Eric,5,0.27
Forest,Bloomburrow,Eric,1,0.27
Forest,Modern Horizons 3,Eric,1,0.23
Forest,Foundations,Eric,1,0.19
Forest,Foundations,Eric,1,0.19
Forest,Wilds of Eldraine,Eric,2,0.18
Forest,Adventures in the Forgotten Realms,Eric,1,0.18
Forest,Bloomburrow,Eric,1,0.17
Forest,Bloomburrow,Eric,1,0.17
Forest,Wilds of Eldraine,Eric,2,0.15
Forest,Adventures in the Forgotten Realms,Eric,1,0.15
Forest,Adventures in the Forgotten Realms,Eric,1,0.15
Forest,Dominaria United,Eric,3,0.14
Forest,Adventures in the Forgotten Realms,Eric,1,0.13
Forest,Dominaria United,Eric,2,0.12
Forest,Dominaria United,Eric,1,0.12
Forest,Dominaria United,Eric,1,0.12
Forest,Commander Legends: Battle for Baldur's Gate,Eric,1,0.11
Forest,Kamigawa: Neon Dynasty,Eric,7,0.11
Forest,Adventures in the Forgotten Realms,Eric,2,0.10
Forest,Dominaria United,Eric,1,0.09
Forest,Murders at Karlov Manor,Eric,1,0.09
Forest,Kamigawa: Neon Dynasty,Eric,7,0.09
Forest,Dominaria United,Eric,1,0.08
Forest,Modern Horizons 3,Eric,2,0.08
Forest,The Lord of the Rings: Tales of Middle-earth,Eric,13,0.07
Forest,Wilds of Eldraine,Eric,13,0.07
Forest,Adventures in the Forgotten Realms,Eric,1,0.07
Forest,Adventures in the Forgotten Realms,Eric,3,0.07
Forest,Commander Legends: Battle for Baldur's Gate,Eric,2,0.07
Forest,Foundations,Eric,2,0.07
Forest,Foundations,Eric,1,0.07
Forest,Wilds of Eldraine,Eric,7,0.07
Forest,March of the Machine,Eric,13,0.06
Forest,The Lord of the Rings: Tales of Middle-earth,Eric,13,0.05
Forest,Modern Horizons 3,Eric,3,0.05
Forge Anew,The Lord of the Rings: Tales of Middle-earth,Eric,3,2.22
Forgotten Ancient,March of the Machine Commander,Eric,1,0.57
Forgotten Ancient,Neon Dynasty Commander,Eric,1,0.51
Forgotten Cave,Phyrexia: All Will Be One Commander,Eric,1,0.09
Forgotten Cave,Modern Horizons 3 Commander,Eric,1,0.07
Form a Posse,Outlaws of Thunder Junction,Eric,1,0.07
Forsaken City,Planeshift,Eric,1,1.83
Forsaken City,Planeshift,Eric,1,1.83
Forsaken Miner,Outlaws of Thunder Junction,Eric,2,0.30
Forsworn Paladin,Adventures in the Forgotten Realms,Eric,1,0.25
Forth Eorlingas!,Tales of Middle-earth Commander,Eric,1,6.78
Fortified Village,Tales of Middle-earth Commander,Eric,1,0.22
Fortified Village,Midnight Hunt Commander,Eric,1,0.15
Fortified Village,March of the Machine Commander,Eric,1,0.15
Fortified Village,Wilds of Eldraine Commander,Eric,1,0.12
Foulmire Knight // Profane Insight,March of the Machine Commander,Eric,1,0.18
Founding the Third Path,Dominaria United,Eric,1,0.16
Foundry Inspector,Neon Dynasty Commander,Eric,1,0.51
Fountainport,Bloomburrow,Eric,1,3.78
Fountainport Bell,Bloomburrow,Eric,2,0.03
Fractured Powerstone,March of the Machine Commander,Eric,3,0.04
Frantic Search,Commander Masters,Eric,1,0.34
Frantic Strength,Duskmourn: House of Horror,Eric,1,0.02
Freelance Muscle,Streets of New Capenna,Eric,1,0.03
Freestrider Commando,Outlaws of Thunder Junction,Eric,1,0.05
Frenzied Goblin,Foundations,Eric,1,0.05
Friendly Rivalry,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.08
Frilled Mystic,Ravnica Remastered,Eric,1,0.14
Frodo Baggins,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.04
"Frodo, Adventurous Hobbit",Tales of Middle-earth Commander,Eric,1,0.29
"Frodo, Determined Hero",Tales of Middle-earth Deluxe Commander Kit,Eric,2,0.22
"Frodo, Sauron's Bane",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.14
Froghemoth,Adventures in the Forgotten Realms,Eric,1,0.61
Frogmyr Enforcer,Modern Horizons 3,Eric,1,0.10
Frontier Bivouac,March of the Machine Commander,Eric,1,0.43
Frontier Warmonger,Tales of Middle-earth Commander,Eric,1,0.15
Frontline Medic,Tales of Middle-earth Commander,Eric,1,0.14
Frost Trickster,Strixhaven: School of Mages,Eric,1,0.03
Frostboil Snarl,Strixhaven: School of Mages,Eric,1,0.30
Frostboil Snarl,Modern Horizons 3 Commander,Eric,1,0.21
Frostboil Snarl,March of the Machine Commander,Eric,1,0.16
Fruit of Tizerus,Theros Beyond Death,Eric,1,0.05
Full Steam Ahead,Outlaws of Thunder Junction,Eric,1,0.08
Fumigate,Tales of Middle-earth Commander,Eric,1,0.28
Furious Bellow,Dominaria United,Eric,2,0.03
Furycalm Snarl,Strixhaven: School of Mages,Eric,1,0.25
Furycalm Snarl,Phyrexia: All Will Be One Commander,Eric,1,0.16
Furycalm Snarl,March of the Machine Commander,Eric,1,0.15
Furycalm Snarl,Modern Horizons 3 Commander,Eric,1,0.14
Furycalm Snarl,Tales of Middle-earth Commander,Eric,1,0.14
Galadhrim Ambush,Tales of Middle-earth Commander,Eric,1,2.48
Galadhrim Bow,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.03
Galadhrim Bow,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.03
Galadhrim Brigade,Tales of Middle-earth Commander,Eric,1,10.59
Galadhrim Guide,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.04
Galadhrim Guide,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.04
"Galadriel, Elven-Queen",Tales of Middle-earth Commander,Eric,1,0.13
"Gale, Waterdeep Prodigy",Commander Legends: Battle for Baldur's Gate,Eric,2,0.19
Gale's Redirection,Commander Legends: Battle for Baldur's Gate,Eric,1,0.09
Gallant Pie-Wielder,Wilds of Eldraine,Eric,1,0.02
Galvanic Blast,Secret Lair Drop,Eric,1,3.92
Galvanic Giant // Storm Reading,Wilds of Eldraine,Eric,1,0.03
Game Trail,Forgotten Realms Commander,Eric,1,0.16
Game Trail,March of the Machine Commander,Eric,2,0.16
Game Trail,Neon Dynasty Commander,Eric,1,0.16
"Ganax, Astral Hunter",Commander Legends: Battle for Baldur's Gate,Eric,1,1.38
"Ganax, Astral Hunter",Commander Legends: Battle for Baldur's Gate,Eric,1,0.21
"Gandalf, Friend of the Shire",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.09
"Gandalf, Friend of the Shire",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.08
"Gandalf, Westward Voyager",Tales of Middle-earth Commander,Eric,1,0.18
"Gandalf, White Rider",Tales of Middle-earth Deluxe Commander Kit,Eric,2,0.34
"Garna, Bloodfist of Keld",Dominaria United,Eric,1,0.04
Garrison Cat,Ikoria: Lair of Behemoths,Eric,1,0.08
"Garruk, Apex Predator",Modern Horizons 3 Commander,Eric,1,0.30
"Garruk, Apex Predator Emblem",Modern Horizons 3 Commander Tokens,Eric,1,0.07
Garruk's Uprising,Forgotten Realms Commander,Eric,1,0.76
Garruk's Uprising,Wilds of Eldraine: Enchanting Tales,Eric,1,0.76
Garruk's Uprising,Wilds of Eldraine: Enchanting Tales,Eric,1,0.62
Gate to the Afterlife,Amonkhet,Eric,1,0.15
Gatekeeper of Malakir,Zendikar,Eric,1,0.27
Gather Courage,Ravnica Remastered,Eric,1,0.02
Gathering Throng,Streets of New Capenna,Eric,1,0.02
Gavony Township,March of the Machine Commander,Eric,1,2.54
Genasi Enforcers,Commander Legends: Battle for Baldur's Gate,Eric,1,0.03
Genasi Enforcers,Commander Legends: Battle for Baldur's Gate,Eric,1,0.03
General's Enforcer,Ikoria: Lair of Behemoths,Eric,1,0.13
Generous Ent,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.39
Generous Gift,Neon Dynasty Commander,Eric,1,0.90
Generous Gift,Wilds of Eldraine Commander,Eric,1,0.88
Generous Gift,March of the Machine Commander,Eric,1,0.64
Genesis Hydra,March of the Machine Commander,Eric,1,0.21
Genesis Hydra,Neon Dynasty Commander,Eric,1,0.20
Genesis Wave,Foundations,Eric,1,0.30
Genesis Wave,Tales of Middle-earth Commander,Eric,1,0.26
"Genku, Future Shaper",Modern Horizons 3,Eric,1,0.24
"Genku, Future Shaper",Modern Horizons 3,Eric,1,0.13
Geode Golem,Commander Legends: Battle for Baldur's Gate,Eric,1,0.27
Geothermal Kami,Kamigawa: Neon Dynasty,Eric,1,0.03
Getaway Glamer,Outlaws of Thunder Junction,Eric,1,0.12
"Gev, Scaled Scorch",Bloomburrow Promos,Eric,1,3.90
"Gev, Scaled Scorch",Bloomburrow,Eric,1,0.47
Geyser Drake,Outlaws of Thunder Junction,Eric,1,0.11
Geyser Drake,Outlaws of Thunder Junction,Eric,4,0.04
Ghastly Gloomhunter,Zendikar Rising,Eric,1,0.07
Ghirapur,March of the Machine Commander,Eric,1,0.78
Ghirapur Aether Grid,March of the Machine Commander,Eric,1,0.17
Ghost Lantern // Bind Spirit,Commander Legends: Battle for Baldur's Gate,Eric,1,0.16
Ghost Quarter,Tales of Middle-earth Commander,Eric,1,0.42
"Giada, Font of Hope",Foundations,Eric,1,1.07
Giant Ankheg,Commander Legends: Battle for Baldur's Gate,Eric,1,0.15
Giant Growth,Foundations,Eric,1,0.02
Giant Inheritance,Wilds of Eldraine Commander,Eric,1,0.16
Gibbering Barricade,Dominaria United,Eric,1,0.01
Gideon Blackblade,Ravnica Remastered,Eric,1,0.89
Gift of Strands,The Lord of the Rings: Tales of Middle-earth,Eric,2,0.03
Gift of the Viper,Modern Horizons 3,Eric,1,0.11
Gila Courser,Outlaws of Thunder Junction,Eric,2,0.06
Gilded Goose,March of the Machine Commander,Eric,1,0.68
Gilded Goose,Tales of Middle-earth Commander,Eric,1,0.68
"Gilraen, Dúnedain Protector",Tales of Middle-earth Commander,Eric,1,0.23
"Gimbal, Gremlin Prodigy",March of the Machine Commander,Eric,1,0.16
Gimli of the Glittering Caves,Tales of Middle-earth Commander,Eric,1,0.78
"Gimli, Counter of Kills",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.07
"Gimli, Counter of Kills",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.07
Gimli's Axe,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.14
Gimli's Axe,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.03
Gimli's Fury,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.07
Gimli's Reckless Might,Tales of Middle-earth Commander,Eric,1,4.43
Githzerai Monk,Commander Legends: Battle for Baldur's Gate,Eric,1,0.06
Glacial Floodplain,Kaldheim,Eric,1,0.25
Glacial Fortress,Tales of Middle-earth Commander,Eric,1,0.79
Glacial Grasp,Zendikar Rising,Eric,1,0.10
Glacial Grasp,Zendikar Rising,Eric,1,0.05
Glamorous Outlaw,Streets of New Capenna,Eric,1,0.05
Glass-Cast Heart,Crimson Vow Commander,Eric,1,0.24
Gleaming Barrier,Foundations,Eric,2,0.03
Gleaming Geardrake,Murders at Karlov Manor,Eric,1,0.04
Glidedive Duo,Bloomburrow,Eric,1,0.02
Glimmer Lens,Phyrexia: All Will Be One Commander,Eric,1,2.50
Glimmer of Genius,Modern Horizons 3 Commander,Eric,1,0.03
Glimmervoid Basin,March of the Machine Commander,Eric,1,0.42
Glittering Stockpile,Outlaws of Thunder Junction Commander,Eric,1,0.15
Gloom Stalker,Adventures in the Forgotten Realms,Eric,2,0.04
Glorious Gale,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.03
"Gluntch, the Bestower",Commander Legends: Battle for Baldur's Gate,Eric,1,0.26
"Gluntch, the Bestower",Commander Legends: Battle for Baldur's Gate,Eric,1,0.24
Gluttonous Hellkite,Modern Horizons 3 Commander,Eric,1,0.16
Gnarlid Colony,Foundations,Eric,2,0.03
Gnoll Hunter,Adventures in the Forgotten Realms,Eric,1,0.03
Gnoll War Band,Commander Legends: Battle for Baldur's Gate,Eric,1,0.02
Gnottvold Hermit,March of the Machine,Eric,1,0.03
Go for Blood,Ikoria: Lair of Behemoths,Eric,1,0.05
Go for the Throat,Tales of Middle-earth Commander,Eric,1,1.18
Go for the Throat,Assassin's Creed,Eric,1,0.84
Go for the Throat,Assassin's Creed,Eric,2,0.73
Go-Shintai of Shared Purpose,Kamigawa: Neon Dynasty,Eric,1,0.11
Goat Token,Tales of Middle-earth Commander Tokens,Eric,2,0.12
Goblin Electromancer,Ravnica Remastered,Eric,2,0.17
Goblin Firebomb,The Brothers' War,Eric,1,0.13
Goblin Fireleaper,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.02
Goblin Javelineer,Adventures in the Forgotten Realms,Eric,1,0.11
Goblin Javelineer,Adventures in the Forgotten Realms,Eric,1,0.03
Goblin Morningstar,Adventures in the Forgotten Realms,Eric,1,0.26
Goblin Picker,Dominaria United,Eric,1,0.07
Goblin Razerunners,Neon Dynasty Commander,Eric,1,0.12
Goblin Surprise,Foundations,Eric,2,0.04
Goblin Token,Phyrexia: All Will Be One Commander Tokens,Eric,1,0.16
Goblin Token,Ravnica Remastered Tokens,Eric,1,0.15
Goblin Token,March of the Machine Commander Tokens,Eric,4,0.13
Goblin Token,Neon Dynasty Commander Tokens,Eric,1,0.12
Goblin Token,Modern Horizons 3 Commander Tokens,Eric,2,
Goblin Token,Bloomburrow Commander Tokens,Eric,1,
"Godo, Bandit Warlord",Double Masters,Eric,1,1.69
Gods' Hall Guardian,Kaldheim,Eric,1,0.02
Goggles of Night,Commander Legends: Battle for Baldur's Gate,Eric,1,0.09
Gold Myr,Neon Dynasty Commander,Eric,1,6.36
Gold Pan,Outlaws of Thunder Junction,Eric,1,0.07
Gold Rush,Outlaws of Thunder Junction,Eric,1,0.09
Gold Token,March of the Machine Commander Tokens,Eric,2,0.10
Golden-Scale Aeronaut,March of the Machine,Eric,1,0.02
Goldnight Commander,Phyrexia: All Will Be One Commander,Eric,1,0.16
Goldspan Dragon,Modern Horizons 3 Commander,Eric,1,7.19
Goldvein Pick,Kaldheim,Eric,1,0.26
Goldvein Pick,Foundations,Eric,1,0.05
Goldwardens' Gambit,Phyrexia: All Will Be One Commander,Eric,1,0.12
Golem Token,March of the Machine Commander Tokens,Eric,2,0.15
Golem Token,Phyrexia: All Will Be One Commander Tokens,Eric,1,
Goliath Paladin,Commander Legends: Battle for Baldur's Gate,Eric,1,0.04
"Gollum, Obsessed Stalker",Tales of Middle-earth Commander,Eric,1,0.25
"Gollum, Patient Plotter",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.11
"Gollum, Patient Plotter",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.09
"Gollum, Scheming Guide",Tales of Middle-earth Deluxe Commander Kit,Eric,2,0.29
Gollum's Bite,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.06
"Gonti, Lord of Luxury",Forgotten Realms Commander,Eric,1,0.13
Gonti's Aether Heart,Modern Horizons 3 Commander,Eric,1,0.76
Good-Fortune Unicorn,March of the Machine Commander,Eric,1,0.14
Grab the Prize,Duskmourn: House of Horror,Eric,1,0.40
Grab the Prize,Duskmourn: House of Horror,Eric,2,0.11
Graceful Takedown,Wilds of Eldraine,Eric,1,0.03
Grafted Growth,Kamigawa: Neon Dynasty,Eric,1,0.05
Grand Master of Flowers,Adventures in the Forgotten Realms,Eric,1,0.60
Grapple with the Past,Modern Horizons 3 Commander,Eric,1,0.05
Grappling Kraken,Foundations,Eric,1,0.12
Gratuitous Violence,Forgotten Realms Commander,Eric,1,2.21
Gravedig,Modern Horizons 3,Eric,1,0.08
Graveshifter,Modern Horizons 3 Commander,Eric,1,0.10
Gray Harbor Merfolk,Commander Legends: Battle for Baldur's Gate,Eric,1,0.02
Graypelt Refuge,Tales of Middle-earth Commander,Eric,1,0.09
Graywater's Fixer,Outlaws of Thunder Junction Commander,Eric,1,0.15
"Grazilaxx, Illithid Scholar",Adventures in the Forgotten Realms,Eric,1,1.73
Great Hall of the Citadel,The Lord of the Rings: Tales of Middle-earth,Eric,1,0.21
Great Oak Guardian,Tales of Middle-earth Commander,Eric,1,0.18
Greataxe,Adventures in the Forgotten Realms,Eric,2,0.04
Greater Tanuki,Kamigawa: Neon Dynasty,Eric,1,0.06
Greatsword of Tyr,Commander Legends: Battle for Baldur's Gate,Eric,1,0.09
Green Dragon,Adventures in the Forgotten Realms,Eric,1,0.86
Green Dragon,Adventures in the Forgotten Realms,Eric,1,0.33
Green Dragon,Adventures in the Forgotten Realms,Eric,1,0.18
Gremlin Token,Modern Horizons 3 Tokens,Eric,2,0.09
Gremlin Token,Duskmourn: House of Horror Tokens,Eric,3,0.06
Gremlin Token,March of the Machine Commander Tokens,Eric,2,
"Grenzo, Havoc Raiser",Modern Horizons 3 Commander,Eric,1,0.19
"Grenzo, Havoc Raiser",Outlaws of Thunder Junction Commander,Eric,1,0.19
Gretchen Titchwillow,Adventures in the Forgotten Realms,Eric,1,0.29
Gretchen Titchwillow,Adventures in the Forgotten Realms,Eric,1,0.19
Grey Havens Navigator,The Lord of the Rings: Tales of Middle-earth,Eric,3,0.02
Grey Host Reinforcements,Tales of Middle-earth Commander,Eric,1,0.14
Griffin Guide,Dominaria Remastered,Eric,1,0.03
Grim Bounty,Adventures in the Forgotten Realms,Eric,1,0.02
Grim Hireling,Forgotten Realms Commander,Eric,1,12.15
Grim Wanderer,Adventures in the Forgotten Realms,Eric,1,0.05
"Grishnákh, Brash Instigator",The Lord of the Rings: Tales of Middle-earth,Eric,1,0.03
Grisly Salvage,Modern Horizons 3 Commander,Eric,1,0.11
"Grist, the Hunger Tide",Modern Horizons 3 Commander,Eric,1,0.57
Grotag Night-Runner,Zendikar Rising,Eric,1,0.03
Ground Seal,Wilds of Eldraine: Enchanting Tales,Eric,1,0.07
Grow from the Ashes,Foundations,Eric,1,0.07
Growth Spiral,Tales of Middle-earth Commander,Eric,1,0.17
Growth Spiral,Modern Horizons 3 Commander,Eric,3,0.16
"Grumgully, the Generous",Neon Dynasty Commander,Eric,1,0.11
Gruul Signet,Ravnica Remastered,Eric,1,0.53
Gruul Signet,March of the Machine Commander,Eric,1,0.52
Gruul Signet,Forgotten Realms Commander,Eric,1,0.44
Gruul Turf,Forgotten Realms Commander,Eric,1,0.49
Gruul Turf,Neon Dynasty Commander,Eric,1,0.18
